AircraftType,V2,TakeoffDistance,WTC,RECATEU,MTOW,ROC_to_5000,IAS_to_5000,ROC_to_FL150,IAS_to_FL150,ROC_to_FL240,IAS_to_FL240,ROC_to_MACH,IAS_to_MCAH,TAS_Cruise,MACH_Cruise,Ceiling_Cruise,Range_Cruise,IAS_to_FL240_Dec,ROD_to_FL240,IAS_to_FL100_Dec,ROD_to_FL100,IAS_Approach,MCS_Approach,ROD_Approach,Vat,APC,LandingDistance,AircraftSubTypeList,Accomodation,Note,AlternativeName,Wingspan,Length,Height,PowerPlant,Pax,ADG,TaxiingSpeedMax,TaxiingSpeedNorm,setAccelerationOnRunwayMax,setDecelerationOnRunwayMax,AccelerationOnGroundMax,DecelerationOnGroundMax
A10,140,1200,M,Lower,22700,6000,170,1286.11,300,1234.6656,300,1028.888,0.63,300,0.29837752,FL340,540,0.67,5000,300,2572.22,250,NaN,771.666,72.02216,C,610,A10,Single seat enclosed cockpit,Close support attack and anti armour aircraft. In service since 1972.  Operated normally at medium and low level. OA-10 for the forward air control role. It has a ferry range of 2130nm and a strike/air support range between 250 and 540 nm. Maximum Cruising Speed Mach 0.71,FAIRCHILD A-10,17.5,16.3,4.5,2 x 40.3 kN GE TF 34 - GE 100 high bypass turbofans.,0,B,15.4332,7.71666,3,,1.028888,1.028888
A109,,,L,Light,3000,1900,90,514.444,100,514.444,100,NaN,,140,NaN,FL19600,521,,,130,514.444,100,NaN,514.444,20.57776,A,,A109,1 pilot and 7 passengers,Intitally developed as a single engined commercial helicopter. but was redesigned in 1969 with two engines. The A109 first flew in August 1971. However the first production aircraft was first completed in 1975 with deliveries starting in 1976. &#13;&#10;After the merger between Agusta and Westland it got renamed AW109.,,11,13.04,3.5,2 x Turbomeca Arrius 2K1 or 2 x Pratt &amp; Whitney PW206C,7,A,15.4332,7.71666,3,,1.028888,1.028888
A124,140,2800,H,Super,405000,800,160,617.3328,270,462.9996,270,257.222,0.72,430,0.40126632,FL390,3200,0.72,1000,290,1028.888,250,128.611,771.666,72.02216,C,900,A4F,Flightcrew of 6 (later versions 4) and up to 88 passengers in upper deck and up to 150t payload.,Heavylift freighter. In service since 1987.  Antonows heavylift freighter development to replace the An-22. An-124 configuration is similar to the LOCKHEAD C-5 Galaxy. Only a limited number built and remain in service. Range with max payload is 3200nm. with 120t the range is 5200nm and with 40t range is 11900nm.,ANTONOV An-124 Ruslan,73.3,69.1,21.1,4 x 229 kN ZMKB Progress D-18T turbofans.,88,F,15.4332,7.71666,3,,1.028888,1.028888
A129,,,L,Light,4600,2050,90,257.222,135,257.222,135,NaN,,140,NaN,FL155,275,,,140,1028.888,100,NaN,514.444,20.57776,A,,A129,1 pilot and 1 weapons systems officer.&#13;&#10;Armed with  1× 20 mm M197 three-barrel gatling-type cannon (500 rounds) in a TM197B Light Turreted Gun System(only CBT version)&#13;&#10;and 4 pods with 38× 81 mm unguided rockets or 76× 70 mm unguided rockets or a 12.7 mm machine gun-pod&#13;&#10;8× AGM-114 Hellfire or BGM-71 TOW anti-tank missiles&#13;&#10;4-8× AIM-92 Stinger or Mistral anti-aircraft missiles&#13;&#10;,The Agusta A129 is the first european attack helicopter. it had its first flight in September 1983 and is still in production today.,,11.9,12.28,3.35, 2 × Rolls-Royce Gem 2-1004D (license built by Piaggio) turboshafts. 664 kW (890 shp) each&#13;&#10;,0,A,15.4332,7.71666,3,,1.028888,1.028888
A225,195,3500,H,Special,600000,1700,250,977.4436,330,977.4436,330,334.3886,0.78,458,0.40126632,FL450,3000,0.78,1500,330,1131.7768,250,118.32212,771.666,77.1666,C,,A225,Flightcrew of six and up to 70 passengers in upper deck.,Ultra heavy lift transport aircraft. The Antonov 225 first flew in December 1988 and entered service from 1989 to 1994.  World´s largest aircraft. designed to participate in the soviet space program. Only 1 aircraft was built. From mid 2001. the aircraft was restored and re-entered service with Antonov Design Bureau.,ANTONOV An-225 Mriya,88.4,84,18.2,6 x 229.5 kN Lotarev D-18T turbofans.,70,F,15.4332,7.71666,3,,1.028888,1.028888
A306,160,2240,H,Lower,171700,3000,190,1646.2208,290,1286.11,290,411.5552,0.78,470,0.40641076,FL370,4150,0.78,1000,290,1028.888,240,113.17768,771.666,71.507716,C,1532,AB6,Flightcrew of 2 and 266 passengers in typical seating configuration. up to 298 in single class configuration.,Long range wide-body airliner. In service since 1994. developed on the basis of the A-300B4. Offers the same engines as the shorter A-310 suited for mid range operations. With both powerplants. the A300-600 and A310 are fully certified for up to 180 minutes extended-range twin-engine operations (ETOPS). which permits their use on routes over water and across remote regions of the globe. Total of 553 were built (together with the A30B) and 416 remain in operation (August 2006).,A300<br />A-300F4-600,44.84,54.1,16.54,2 x 262kN CF6-80C2 or 2 x 249kN P&amp;W PW4000 turbofans.,266,D,15.4332,7.71666,3,,1.028888,1.028888
A30B,160,2850,H,Lower,165000,3000,190,1646.2208,290,1286.11,290,411.5552,0.78,470,0.40641076,FL350,3000,0.78,1000,290,1028.888,240,113.17768,771.666,72.536604,C,1635,AB3,Flightcrew of two and typical 220 passengers in three classes. up to 336 in single class configuration.,Long range wide-body airliner. In service since 1974.  Airbus pioneered the use of advanced composite materials on the A300B. incorporating them in secondary structures such as tailfin leading edges. Exists in many versions as airliner and freighter. Production of the A-300B4 ceased in May 1994 with switching to the improved A300-600.,A-300B4-100 <br />A-300B4-2 ,44.8,53.6,16.5,2 x 233 kN GE CF6-50-C2 or 2 x 234 kN P&amp;W JT9D-59A1T turbofans.,220,D,15.4332,7.71666,3,,1.028888,1.028888
A310,160,2290,H,Lower,150000,2500,190,1543.332,260,1440.4432,260,771.666,0.79,480,0.4115552,FL400,5100,0.79,1500,290,1028.888,240,113.17768,514.444,71.507716,C,1490,310,Flightcrew of 2 and 220 passengers in typical seating configuration. up to maximum of 247.,Long range wide-body airliner. Offers the same engines as the longer A306 suited for mid range operations. With both powerplants. the A300-600 and A310 are fully certified for up to 180 minutes extended-range twin-engine operations (ETOPS). which permits their use on routes over water and across remote regions of the globe. Total of 255 aircraft produced. 228 still remain in service (August 2006).,,43.9,46.66,15.8,2 x 233 kN GE CF6-50-C2 or 2 x 234 kN P&amp;W JT9D-59A1T turbofans.,220,D,15.4332,7.71666,3,,1.028888,1.028888
A318,135,1400,M,Upper,59000,3000,165,1028.888,290,1028.888,290,514.444,0.76,460,0.40641076,FL390,1500,0.76,800,290,1800.554,250,108.03324,771.666,64.3055,C,1300,318,Flightcrew of two and typical 107 passengers in two classes. up to 117 in single class configuration.,Short range. mid-size single aisle airliner. The shortest. smallest and newest member of the A320 family. Total of 90 aircraft are ordered and 30 are delivered (August 2006).,,34.1,31.45,12.56,2 x 90kN P&amp;W PW6124 or 2 x 98kN CFM 56-5B turbofans.,107,C,15.4332,7.71666,3,,1.028888,1.028888
A319,135,1750,M,Upper,64000,2500,165,1131.7768,290,771.666,290,514.444,0.78,450,0.40641076,FL390,1800,0.78,1000,290,1800.554,230,108.03324,771.666,66.87772,C,1350,319,Flightcrew of two and typical 124 passengers in two classes. up to 142 in high density configuration.,Short range single aisle airliner. In service since 1996.  Short fuselage version of A-320. A new developed corporate version is the A-319CJ. Total of 1271 are ordered and 877 are already in operation (August 2006).,AIRBUS A-319,34.1,33.84,11.76,2 x 98kN CFM56-5A4 or 2 x 104.6kN IAE V2524-A5 turbofans.,124,C,15.4332,7.71666,3,,1.028888,1.028888
