Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
KAL854,B773,HL7751,ZBAA,RKSI,25000,2015-05-13 00:02:00,,,,,,KAL,PULUN_RKSI
KAL896,A330,HL7525,ZSPD,RKSI,25000,2015-05-13 00:03:00,,,,,,KAL,PULUN_RKSI
KAL012,B747,HL7402,KLAX,RKSI,25000,2015-05-13 00:04:00,,,,,,KAL,PULUN_RKSI
KAL086,B773,HL8210,KJFK,RKSI,25000,2015-05-13 00:05:00,,,,,,KAL,PULUN_RKSI
KAL650,B738,HL8243,RPLL,RKSI,25000,2015-05-13 00:06:00,,,,,,KAL,PULUN_RKSI
KAL624,B773,HL7533,RPLL,RKSI,25000,2015-05-13 00:07:00,,,,,,KAL,PULUN_RKSI
KAL006,A332,HL8228,KLAS,RKSI,25000,2015-05-13 00:08:00,,,,,,KAL,PULUN_RKSI
AAR324,A320,HL7773,ZUUU,RKSI,25000,2015-05-13 00:09:00,,,,,,AAR,PULUN_RKSI
JJA2302,B737,HL7779,RPLL,RKSI,25000,2015-05-13 00:10:00,,,,,,JJA,PULUN_RKSI
AAR704,A321,HL7711,RPLL,RKSI,25000,2015-05-13 00:11:00,,,,,,AAR,PULUN_RKSI
KAL9820,B737,HL7705,ZGHA,RKSI,25000,2015-05-13 00:12:00,,,,,,KAL,PULUN_RKSI
PAL466,A333,P3335,RPLL,RKSI,25000,2015-05-13 00:13:00,,,,,,PAL,PULUN_RKSI
AAR203,B777,HL7742,KLAX,RKSI,25000,2015-05-13 00:14:00,,,,,,AAR,PULUN_RKSI
CES2023,A333,B6129,ZGHA,RKSI,25000,2015-05-13 00:15:00,,,,,,CES,PULUN_RKSI
AAR3223,A321,HL7763,ZGHA,RKSI,25000,2015-05-13 00:16:00,,,,,,AAR,PULUN_RKSI
AAR734,A330,HL7795,VVNB,RKSI,25000,2015-05-13 00:17:00,,,,,,AAR,PULUN_RKSI
CES2015,A320,B2336,ZGKL,RKSI,25000,2015-05-13 00:18:00,,,,,,CES,PULUN_RKSI
AAR724,A330,HL7754,VHHH,RKSI,25000,2015-05-13 00:19:00,,,,,,AAR,PULUN_RKSI
ADB178F,A124,UR82027,ZSPD,RKSI,25000,2015-05-13 00:20:00,,,,,,ADB,PULUN_RKSI
AAR756,A321,HL7722,VVDN,RKSI,25000,2015-05-13 00:21:00,,,,,,AAR,PULUN_RKSI
KAL608,A388,HL7611,VHHH,RKSI,25000,2015-05-13 00:22:00,,,,,,KAL,PULUN_RKSI
DLH718,A343,DAIFD,EDDM,RKSI,25000,2015-05-13 00:23:00,,,,,,DLH,PULUN_RKSI
AAR356,A321,HL7790,ZGGG,RKSI,25000,2015-05-13 00:24:00,,,,,,AAR,PULUN_RKSI
CPA412,A333,BHLV,VHHH,RKSI,25000,2015-05-13 00:25:00,,,,,,CPA,PULUN_RKSI
AAR708,A320,HL7737,RPLC,RKSI,25000,2015-05-13 00:26:00,,,,,,AAR,PULUN_RKSI
JNA016,B737,HL7798,VLVT,RKSI,25000,2015-05-13 00:27:00,,,,,,JNA,PULUN_RKSI
HVN416,A332,VNA372,VVNB,RKSI,25000,2015-05-13 00:28:00,,,,,,HVN,PULUN_RKSI
KAL680,A333,HL8211,VVNB,RKSI,25000,2015-05-13 00:29:00,,,,,,KAL,PULUN_RKSI
JNA002,B737,HL7798,VTBS,RKSI,25000,2015-05-13 00:30:00,,,,,,JNA,PULUN_RKSI
ESR512,B737,HL8264,VTBS,RKSI,25000,2015-05-13 00:31:00,,,,,,ESR,PULUN_RKSI
CEB190,A320,RPC3249,RPLL,RKSI,25000,2015-05-13 00:32:00,,,,,,CEB,PULUN_RKSI
KAL652,B773,HL7534,VTBS,RKSI,25000,2015-05-13 00:33:00,,,,,,KAL,PULUN_RKSI
EZD038,A320,RPC8991,RPVK,RKSI,25000,2015-05-13 00:34:00,,,,,,EZD,PULUN_RKSI
SWM211,A320,XUZAB,VDSR,RKSI,25000,2015-05-13 00:35:00,,,,,,SWM,PULUN_RKSI
KAL914,B772,HL7765,LEMD,RKSI,25000,2015-05-13 00:36:00,,,,,,KAL,PULUN_RKSI
AAR710,A321,HL7723,RPVM,RKSI,25000,2015-05-13 00:37:00,,,,,,AAR,PULUN_RKSI
AAR758,A321,HL7735,WBKK,RKSI,25000,2015-05-13 00:38:00,,,,,,AAR,PULUN_RKSI
AAR752,A330,HL7740,WSSS,RKSI,25000,2015-05-13 00:39:00,,,,,,AAR,PULUN_RKSI
KAL672,B772,HL7782,WMKK,RKSI,25000,2015-05-13 00:40:00,,,,,,KAL,PULUN_RKSI
ESR502,B737,HL8215,WBKK,RKSI,25000,2015-05-13 00:41:00,,,,,,ESR,PULUN_RKSI
