Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
ESR502,B737,HL8215,WBKK,RKSI,25000,2012-05-13 06:00:00,,128,,,33R,ESR,PULUN_RKSI
KAL684,A333,HL7550,VVTS,RKSI,25000,2012-05-13 06:03:00,,27,,,34,KAL,PULUN_RKSI
AAR606,A321,HL7789,PGSN,RKSI,25000,2012-05-13 06:04:00,,36,,,33R,AAR,PULUN_RKSI
KAL690,B739,HL8223,VDPP,RKSI,25000,2012-05-13 06:08:00,,16,,,33R,KAL,PULUN_RKSI
THA658,B773,HSTKD,VTBS,RKSI,25000,2012-05-13 06:09:00,,122,,,34,THA,PULUN_RKSI
KAL674,B737,HL7561,WBKK,RKSI,25000,2012-05-13 06:11:00,,15,,,33R,KAL,PULUN_RKSI
HVN408,B772,VNA151,VVTS,RKSI,25000,2012-05-13 06:12:00,,112,,,34,HVN,PULUN_RKSI
KAL632,A333,HL7524,RPVM,RKSI,25000,2012-05-13 06:15:00,,21,,,33R,KAL,PULUN_RKSI
AAR736,B777,HL7597,VVTS,RKSI,25000,2012-05-13 06:16:00,,39,,,34,AAR,PULUN_RKSI
AAR738,A320,HL7772,VDSR,RKSI,25000,2012-05-13 06:20:00,,42,,,34,AAR,PULUN_RKSI
AMU826,A319,BMAL,VMMC,RKSI,25000,2012-05-13 06:23:00,,129,,,34,AMU,PULUN_RKSI
THA654,A330,HSTET,VTSP,RKSI,25000,2012-05-13 06:25:00,,106,,,33R,THA,PULUN_RKSI
KAL688,B738,HL8244,VDSR,RKSI,25000,2012-05-13 06:26:00,,9,,,34,KAL,PULUN_RKSI
THA656,B772,HSTJC,VTBS,RKSI,25000,2012-05-13 06:27:00,,121,,,33R,THA,PULUN_RKSI
AAR742,A330,HL7741,VTBS,RKSI,25000,2012-05-13 06:29:00,,30,,,34,AAR,PULUN_RKSI
KAL628,B747,HL7490,WIII,RKSI,25000,2012-05-13 06:30:00,,17,,,33R,KAL,PULUN_RKSI
MAS066,A333,9MMKH,WMKK,RKSI,25000,2012-05-13 06:32:00,,107,,,34,MAS,PULUN_RKSI
AAR740,A321,HL8255,VDPP,RKSI,25000,2012-05-13 06:34:00,,38,,,33R,AAR,PULUN_RKSI
KAL668,B738,HL8241,VTCC,RKSI,25000,2012-05-13 06:38:00,,20,,,33R,KAL,PULUN_RKSI
KAL654,B777,HL7573,VTBS,RKSI,25000,2012-05-13 06:46:00,,10,,,33R,KAL,PULUN_RKSI
KAL112,B777,HL7721,PGUM,RKSI,25000,2012-05-13 06:49:00,,19,,,33R,KAL,PULUN_RKSI
AFR264,B773,FGSQF,LFPG,RKSI,25000,2012-05-13 07:02:00,,110,,,33R,AFR,PULUN_RKSI
BCC868,B763,HSBID,VTBS,RKSI,25000,2012-05-13 07:05:00,,132,,,33R,BCC,PULUN_RKSI
JJA2202,B737,HL8214,VTBS,RKSI,25000,2012-05-13 07:15:00,,118,,,33R,JJA,PULUN_RKSI
SIA608,A333,9VSTF,WSSS,RKSI,25000,2012-05-13 07:23:00,,123,,,33R,SIA,PULUN_RKSI
JJA2702,B737,HL7796,VVTS,RKSI,25000,2012-05-13 07:27:00,,34,,,33R,JJA,PULUN_RKSI
FIN041,A333,OHLTO,EFHK,RKSI,25000,2012-05-13 07:37:00,,126,,,33R,FIN,PULUN_RKSI
KAL1412,B737,HL7562,RKTN,RKSI,25000,2012-05-13 07:40:00,,2,,,33R,KAL,PULUN_RKSI
KAL114,B739,HL8225,PGUM,RKSI,25000,2012-05-13 07:53:00,,17,,,33R,KAL,PULUN_RKSI
KAL1402,B737,HL8240,RKPK,RKSI,25000,2012-05-13 08:00:00,,16,,,33R,KAL,PULUN_RKSI
GIA870,A333,PKGPG,WADD,RKSI,25000,2012-05-13 08:04:00,,108,,,33R,GIA,PULUN_RKSI
KAL642,B773,HL7532,WSSS,RKSI,25000,2012-05-13 08:07:00,,15,,,33R,KAL,PULUN_RKSI
GIA878,A332,PKGPL,WIII,RKSI,25000,2012-05-13 08:11:00,,109,,,33R,GIA,PULUN_RKSI
KAL638,A333,HL7709,VTSP,RKSI,25000,2012-05-13 08:14:00,,24,,,33R,KAL,PULUN_RKSI
TWB102,B737,HL8237,VTBS,RKSI,25000,2012-05-13 08:17:00,,103,,,33R,TWB,PULUN_RKSI
KAL720,A330,HL7539,RJTT,RKSI,25000,2012-05-13 08:20:00,,6,,,33R,KAL,PULUN_RKSI
KAL660,A333,HL7587,VTBS,RKSI,25000,2012-05-13 08:30:00,,28,,,33R,KAL,PULUN_RKSI
AAR748,B767,HL7247,VTSP,RKSI,25000,2012-05-13 08:59:00,,47,,,33R,AAR,PULUN_RKSI
KAL630,A333,HL7701,WADD,RKSI,25000,2012-05-13 09:22:00,,6,,,33R,KAL,PULUN_RKSI
AAR552,B777,HL7732,LTBA,RKSI,25000,2012-05-13 09:48:00,,43,,,33R,AAR,PULUN_RKSI
SHU111,B737,73013,UHSS,RKSI,25000,2012-05-13 10:06:00,,127,,,33R,SHU,PULUN_RKSI
CSN685,A321,B6306,ZYTL,RKSI,25000,2012-05-13 10:27:00,,106,,,33R,CSN,PULUN_RKSI
MGL301,B738,EICSG,ZMUB,RKSI,25000,2012-05-13 10:45:00,,130,,,33R,MGL,PULUN_RKSI
MDA7398,E190,B16825,RCMQ,RKSI,25000,2012-05-13 10:47:00,,105,,,33R,MDA,PULUN_RKSI
AFL250,A333,VQBQZ,UUEE,RKSI,25000,2012-05-13 10:49:00,,111,,,33R,AFL,PULUN_RKSI
DLH719,A343,DAIFD,RKPK,RKSI,25000,2012-05-13 10:51:00,,122,,,33R,DLH,PULUN_RKSI
CES579,A320,B6260,ZSNJ,RKSI,25000,2012-05-13 10:53:00,,118,,,33R,CES,PULUN_RKSI
AAR161,A321,HL7731,RJOA,RKSI,25000,2012-05-13 10:54:00,,31,,,33R,AAR,PULUN_RKSI
CES549,A320,B2400,ZSYT,RKSI,25000,2012-05-13 10:55:00,,117,,,34,CES,PULUN_RKSI
CAL160,B744,B18207,RCTP,RKSI,25000,2012-05-13 10:56:00,,126,,,33R,CAL,PULUN_RKSI
KAL748,B739,HL7725,RJOB,RKSI,25000,2012-05-13 11:00:00,,11,,,33R,KAL,PULUN_RKSI
CSN313,B738,B5191,ZSPD,RKSI,25000,2012-05-13 11:00:00,,102,,,34,CSN,PULUN_RKSI
CCA171,B737,B2580,ZBTJ,RKSI,25000,2012-05-13 11:02:00,,103,,,34,CCA,PULUN_RKSI
AAR115,B763,HL7516,RJBB,RKSI,25000,2012-05-13 11:04:00,,46,,,33R,AAR,PULUN_RKSI
DLH712,A346,DAIHH,EDDF,RKSI,25000,2012-05-13 11:05:00,,124,,,34,DLH,PULUN_RKSI
KAL752,B747,HL7461,RJGG,RKSI,25000,2012-05-13 11:06:00,,7,,,33R,KAL,PULUN_RKSI
KAL722,A333,HL7585,RJBB,RKSI,25000,2012-05-13 11:08:00,,28,,,33R,KAL,PULUN_RKSI
KAL936,B777,HL7598,LKPR,RKSI,25000,2012-05-13 11:08:00,,12,,,34,KAL,PULUN_RKSI
AAR107,B763,HL7514,RJAA,RKSI,25000,2012-05-13 11:11:00,,39,,,33R,AAR,PULUN_RKSI
CSN681,A321,B6265,ZYTX,RKSI,25000,2012-05-13 11:13:00,,104,,,34,CSN,PULUN_RKSI
KAL1404,B737,HL7566,RKPK,RKSI,25000,2012-05-13 11:13:00,,16,,,33R,KAL,PULUN_RKSI
