Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
AAR101,B747,HL7418,RJAA,RKSI,25000,2012-05-13 14:32:00,,43,,,,AAR,PULUN_RKSI
AAR103,A330,HL7740,RJAA,RKSI,25000,2012-05-13 15:49:00,,45,,,,AAR,PULUN_RKSI
AAR107,B763,HL7514,RJAA,RKSI,25000,2012-05-13 11:11:00,,39,,,,AAR,PULUN_RKSI
AAR111,B777,HL7742,RJBB,RKSI,25000,2012-05-13 14:26:00,,39,,,,AAR,PULUN_RKSI
AAR113,B747,HL7423,RJBB,RKSI,25000,2012-05-13 18:30:00,,40,,,,AAR,PULUN_RKSI
AAR115,B763,HL7516,RJBB,RKSI,25000,2012-05-13 11:04:00,,46,,,,AAR,PULUN_RKSI
AAR121,B763,HL7506,RJGG,RKSI,25000,2012-05-13 13:24:00,,31,,,,AAR,PULUN_RKSI
AAR123,B763,HL7506,RJGG,RKSI,25000,2012-05-13 19:18:00,,47,,,,AAR,PULUN_RKSI
AAR131,B777,HL7597,RJFF,RKSI,25000,2012-05-13 12:58:00,,40,,,,AAR,PULUN_RKSI
AAR133,A321,HL7762,RJFF,RKSI,25000,2012-05-13 17:14:00,,36,,,,AAR,PULUN_RKSI
AAR135,B777,HL7775,RJFF,RKSI,25000,2012-05-13 20:52:00,,31,,,,AAR,PULUN_RKSI
AAR151,A321,HL7712,RJSS,RKSI,25000,2012-05-13 15:36:00,,32,,,,AAR,PULUN_RKSI
AAR161,A321,HL7731,RJOA,RKSI,25000,2012-05-13 10:54:00,,31,,,,AAR,PULUN_RKSI
AAR127,A321,HL7789,RJNT,RKSI,25000,2012-05-13 13:37:00,,38,,,,AAR,PULUN_RKSI
AAR165,A321,HL7723,RJOT,RKSI,25000,2012-05-13 19:44:00,,42,,,,AAR,PULUN_RKSI
AAR171,A321,HL7723,ROAH,RKSI,25000,2012-05-13 14:40:00,,36,,,,AAR,PULUN_RKSI
AAR175,A320,HL7789,RJOM,RKSI,25000,2012-05-13 18:39:00,,48,,,,AAR,PULUN_RKSI
AAR157,A320,HL7735,RJFM,RKSI,25000,2012-05-13 20:12:00,,37,,,,AAR,PULUN_RKSI
AAR163,A321,HL7731,RJOH,RKSI,25000,2012-05-13 16:08:00,,38,,,,AAR,PULUN_RKSI
AAR125,A320,HL7735,RJNS,RKSI,25000,2012-05-13 14:34:00,,33,,,,AAR,PULUN_RKSI
AAR332,A321,HL7763,ZBAA,RKSI,25000,2012-05-13 13:19:00,,45,,,,AAR,PULUN_RKSI
AAR336,A320,HL7772,ZBAA,RKSI,25000,2012-05-13 22:52:00,,24,,,,AAR,PULUN_RKSI
AAR334,B763,HL7515,ZBAA,RKSI,25000,2012-05-13 18:41:00,,46,,,,AAR,PULUN_RKSI
AAR362,B777,HL7739,ZSPD,RKSI,25000,2012-05-13 15:16:00,,46,,,,AAR,PULUN_RKSI
AAR364,A330,HL7741,ZSPD,RKSI,25000,2012-05-13 16:10:00,,48,,,,AAR,PULUN_RKSI
AAR366,A330,HL7747,ZSPD,RKSI,25000,2012-05-13 19:24:00,,28,,,,AAR,PULUN_RKSI
AAR368,B763,HL7515,ZSPD,RKSI,25000,2012-05-13 11:19:00,,45,,,,AAR,PULUN_RKSI
