Name,SubName,Controllers,Type,Class,Polygons,AltitudeMin,AltitudeMax
SEOUL,T01,SeoulApproach,TMA,B/D/E/,-80571.48053/-11273.93006/-26138.00937/22084.54793/19444.13250/29497.54304/37098.30363/20231.29915/106243.21864/57296.27470/106243.21864/-20262.18663/82704.67036/-22393.42273/75348.83784/-16833.67639/60637.13002/-16833.67639/44454.19707/-11273.93006/30477.99328/-12663.86665/13191.60728/-33976.22759/5982.81123/-34717.52710/-8361.22372/-40061.06107/-58111.61509/-40709.69814/-58503.92818/-20540.17395/-80571.48053/-11273.93006/,1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/1000/,18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/
SEOUL,T02,SeoulApproach,TMA,D/,106243.21864/57296.27470/128310.41528/61002.77226/128310.41528/-31659.66661/115070.12191/-31659.66661/106243.21864/-38146.03734/106243.21864/57296.27470/,17500/17500/17500/17500/17500/17500/,18500/18500/18500/18500/18500/18500/
SEOUL,T03,SeoulApproach,TMA,B/D/E/,30477.99328/-12663.86665/44454.19707/-11273.93006/60637.13002/-16833.67639/75348.83784/-16833.67639/82704.67036/-22393.42273/57694.78240/-22393.42273/23416.32362/-32617.17848/13191.60728/-33976.22759/30477.99328/-12663.86665/,4500/4500/4500/4500/4500/4500/4500/4500/4500/,18500/18500/18500/18500/18500/18500/18500/18500/18500/
SEOUL,T04,SeoulApproach,TMA,D/E/,-58111.61509/-40709.69814/-8361.22372/-40061.06107/5982.81123/-34717.52710/23416.32362/-32617.17848/47028.75780/-25389.50825/50216.30760/-40277.27343/1789.93946/-53898.65194/-15864.25559/-48956.65520/-57768.34111/-56307.87535/-58111.61509/-40709.69814/,6500/6500/6500/6500/6500/6500/6500/6500/6500/6500/,18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/
SEOUL,T05,SeoulApproach,TMA,D/E/,47028.75780/-25389.50825/57694.78240/-22393.42273/82704.67036/-22393.42273/106243.21864/-20262.18663/106243.21864/-30763.92970/50216.30760/-40277.27343/47028.75780/-25389.50825/,7500/7500/7500/7500/7500/7500/7500/,18500/18500/18500/18500/18500/18500/18500/
SEOUL,T06,SeoulApproach,TMA,D/E/,1789.93946/-53898.65194/50216.30760/-40277.27343/106243.21864/-30763.92970/106243.21864/-45867.90724/10911.27404/-63906.19534/1789.93946/-53898.65194/,9500/9500/9500/9500/9500/9500/,18500/18500/18500/18500/18500/18500/
SEOUL,T07,SeoulApproach,TMA,D/,10911.27404/-63906.19534/106243.21864/-45867.90724/106243.21864/-46485.65683/103218.92585/-44703.55385/102676.84085/-45405.22730/102128.17550/-46101.67539/101572.98091/-46792.83531/101011.30869/-47478.64475/100443.21103/-48159.04189/99868.74065/-48833.96540/99287.95080/-49503.35447/98700.89528/-50167.14881/98107.62840/-50825.28863/97508.20499/-51477.71468/96902.68042/-52124.36823/96291.11055/-52765.19108/95673.55174/-53400.12556/95050.06087/-54029.11457/94420.69530/-54652.10153/93785.51291/-55269.03041/93144.57202/-55879.84577/92497.93146/-56484.49269/91845.65053/-57082.91685/91187.78901/-57675.06447/90524.40711/-58260.88237/89855.56553/-58840.31793/89181.32542/-59413.31914/88501.74836/-59979.83454/87816.89639/-60539.81329/87126.83197/-61093.20514/86431.61802/-61639.96044/85731.31786/-62180.03015/85025.99523/-62713.36582/84315.71429/-63239.91963/83600.53962/-63759.64437/82880.53620/-64272.49346/82155.76938/-64778.42093/81426.30495/-65277.38145/80692.20904/-65769.33031/79953.54819/-66254.22345/79210.38930/-66732.01744/78462.79965/-67202.66950/77710.84688/-67666.13748/76954.59899/-68122.37990/76194.12431/-68571.35592/75429.49155/-69013.02536/74660.76974/-69447.34870/73888.02825/-69874.28709/73111.33677/-70293.80234/72330.76532/-70705.85692/71546.38424/-71110.41398/70758.26418/-71507.43736/69966.47608/-71896.89156/69171.09120/-72278.74177/68372.18108/-72652.95386/67569.81755/-73019.49438/66764.07272/-73378.33058/65955.01897/-73729.43041/65142.72897/-74072.76250/64327.27562/-74408.29618/63508.73210/-74736.00148/62687.17184/-75055.84915/61862.66850/-75367.81061/61035.29600/-75671.85802/60205.12847/-75967.96423/59372.24029/-76256.10281/58536.70603/-76536.24805/57698.60050/-76808.37493/56857.99871/-77072.45918/56014.97586/-77328.47723/55169.60738/-77576.40624/54321.96884/-77816.22409/53472.13604/-78047.90939/52620.18493/-78271.44147/51766.19164/-78486.80038/50910.23245/-78693.96693/50052.38383/-78892.92264/49192.72237/-79083.64976/48331.32483/-79266.13129/47468.26809/-79440.35097/46603.62918/-79606.29324/45737.48525/-79763.94333/44869.91357/-79913.28717/44000.99153/-80054.31146/43130.79662/-80187.00361/42259.40645/-80311.35182/41386.89871/-80427.34498/40513.35118/-80534.97277/39638.84172/-80634.22559/38763.44830/-80725.09459/37887.24892/-80807.57168/37010.32166/-80881.64950/36132.74467/-80947.32147/35254.59613/-81004.58171/34375.95429/-81053.42514/33496.89743/-81093.84739/32617.50384/-81125.84487/31737.85189/-81149.41473/30858.01991/-81164.55486/29978.08630/-81171.26391/29098.12942/-81169.54130/28218.22766/-81159.38716/27338.45941/-81140.80242/27314.95435/-81542.94621/10911.27404/-63906.19534/,11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/11500/,18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/
SEOUL,T08,SeoulApproach,TMA,D/,-2599.09017/-52663.15276/1789.93946/-53898.65194/10911.27404/-63906.19534/441.35494/-65944.76900/-2599.09017/-52663.15276/,11500/11500/11500/11500/11500/,18500/18500/18500/18500/18500/
SEOUL,T09,SeoulApproach,TMA,D/,-36828.58739/-52632.26528/-15864.25559/-48956.65520/-2599.09017/-52663.15276/441.35494/-65944.76900/10911.27404/-63906.19534/27314.95435/-81542.94621/27338.45941/-81140.80242/26616.48631/-81119.24889/25894.69929/-81092.01773/25173.14166/-81059.11056/24451.85675/-81020.52936/23730.88783/-80976.27646/23010.27819/-80926.35450/22290.07108/-80870.76648/21570.30974/-80809.51575/20851.03738/-80742.60597/20132.29718/-80670.04117/19414.13231/-80591.82570/18696.58588/-80507.96425/17979.70099/-80418.46188/17263.52069/-80323.32394/16548.08799/-80222.55615/15833.44589/-80116.16457/15119.63730/-80004.15558/14406.70512/-79886.53591/13694.69219/-79763.31262/12983.64131/-79634.49311/12273.59520/-79500.08512/11564.59655/-79360.09673/10856.68800/-79214.53635/10149.91211/-79063.41271/9444.31138/-78906.73489/8739.92827/-78744.51231/8036.80515/-78576.75472/7334.98432/-78403.47220/6634.50802/-78224.67515/5935.41843/-78040.37432/5237.75763/-77850.58078/4541.56762/-77655.30595/3846.89035/-77454.56156/3153.76766/-77248.35967/2462.24132/-77036.71269/1772.35301/-76819.63332/1084.14431/-76597.13463/397.65672/-76369.22999/-287.06836/-76135.93311/-969.98961/-75897.25800/-1651.06583/-75653.21904/-2330.25591/-75403.83088/-3007.51885/-75149.10854/-3682.81373/-74889.06734/-4356.09978/-74623.72292/-5027.33631/-74353.09123/-5696.48274/-74077.18858/-6363.49863/-73796.03155/-7028.34362/-73509.63708/-7690.97750/-73218.02238/-8351.36016/-72921.20503/-9009.45163/-72619.20288/-9665.21207/-72312.03412/-10318.60173/-71999.71724/-10969.58103/-71682.27105/-11618.11051/-71359.71466/-12264.15083/-71032.06751/-12907.66282/-70699.34932/-13548.60741/-70361.58015/-14186.94569/-70018.78034/-14822.63890/-69670.97055/-15455.64841/-69318.17174/-16085.93576/-68960.40517/-16713.46260/-68597.69241/-17338.19078/-68230.05532/-17960.08228/-67857.51606/-18579.09922/-67480.09712/-19195.20391/-67097.82123/-19808.35880/-66710.71147/-20418.52652/-66318.79118/-21025.66985/-65922.08400/-21629.75174/-65520.61389/-22230.73531/-65114.40505/-22828.58386/-64703.48201/-23423.26086/-64287.86958/-24014.72994/-63867.59285/-24602.95492/-63442.67719/-25187.89981/-63013.14826/-25769.52880/-62579.03201/-26347.80623/-62140.35466/-26922.69668/-61697.14271/-27494.16488/-61249.42295/-28062.17576/-60797.22243/-28626.69444/-60340.56849/-29187.68625/-59879.48874/-29745.11670/-59414.01104/-30298.95151/-58944.16355/-30849.15658/-58469.97469/-31395.69804/-57991.47314/-31938.54221/-57508.68785/-32477.65562/-57021.64804/-33013.00501/-56530.38318/-33544.55732/-56034.92301/-34072.27973/-55535.29753/-34596.13959/-55031.53699/-35116.10452/-54523.67189/-35632.14232/-54011.73301/-36144.22102/-53495.75136/-36652.30889/-52975.75820/-36828.58739/-52632.26528/,14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/14500/,18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/18500/
SEOUL,T10,SeoulApproach,TMA,B/E/,-16452.72856/27119.20711/2795.24792/30300.61751/7110.71821/27180.98207/-19198.93548/22887.62240/-18953.73845/24493.77134/-16452.72856/27119.20711/,1600/1600/1600/1600/1600/1600/,6000/6000/6000/6000/6000/6000/
