Airport,Name,NameGroup,StartNode,EndNode,TaxiingSpeed,ArrivalPreference,DeparturePreference,ACType,A,B,C,D,E,F
RKSI,V_2,V,V_2_2,V_2_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,V_1,V,V_2_1,V_1_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_9,Unknown,Unknown_9_1,Unknown_10_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_8,Unknown,Unknown_8_1,Unknown_9_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_7,Unknown,Unknown_7_1,Unknown_8_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_6,Unknown,Unknown_6_1,Unknown_7_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_5,Unknown,Unknown_5_1,Unknown_6_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_4,Unknown,Unknown_4_1,Unknown_5_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_3,Unknown,Unknown_3_1,Unknown_4_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_2,Unknown,Unknown_2_1,Unknown_3_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_13,Unknown,Unknown_13_1,Unknown_13_2,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_12,Unknown,Unknown_12_1,Unknown_13_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RKSI,Unknown_11,Unknown,Unknown_11_1,Unknown_12_1,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
