Airport,Name,NameGroup,Latitude,Longitude,Xcoord,Ycoord
RKSI,D3_1_1,D3,,,4,1103
RKSI,B_1_1,B,,,-3,-330
RKSI,RWY1_1_1,RWY1,,,-9,12
RKSI,D1_4_2,D1,,,34,1060
RKSI,D1_3_1,D1,,,57,947
RKSI,D2_1_1,D2,,,89,983
RKSI,D1_5_1,D1,,,-32,988
RKSI,RWY2_2_1,RWY2,,,-42,782
RKSI,B_2_1,B,,,-50,-264
RKSI,RWY1_2_1,RWY1,,,-65,93
RKSI,D3_2_1,D3,,,111,1147
RKSI,D3_2_2,D3,,,127,1199
RKSI,J_4_2,J,,,141,908
RKSI,D2_2_2,D2,,,169,1071
RKSI,G_3_1,G,,,173,140
RKSI,D2_2_1,D2,,,217,1071
RKSI,RWY2_1_1,RWY2,,,329,251
RKSI,G_4_2,G,,,512,378
RKSI,D_2_1,D,,,616,229
RKSI,841_1_2,841,,,716,299
RKSI,D_1_1,D,,,741,50
RKSI,842_1_2,842,,,803,360
RKSI,841_1_1,841,,,843,118
RKSI,842_1_1,842,,,931,179
RKSI,B_3_1,B,,,-109,-179
RKSI,G_1_1,G,,,-166,-98
RKSI,821_2_1,821,,,-171,-450
RKSI,822_2_1,822,,,-190,-362
RKSI,J_3_1,J,,,-199,672
RKSI,B1_1_1,B1,,,-223,-17
RKSI,C1_1_1,C1,,,-228,713
RKSI,R1_5_1,R1,,,-244,-418
RKSI,C1_3_1,C1,,,-245,903
RKSI,R1_6_1,R1,,,-247,-390
RKSI,R1_7_1,R1,,,-251,-374
RKSI,823_2_1,823,,,-254,-281
RKSI,A4_3_1,A4,,,-256,-161
RKSI,R1_4_1,R1,,,-262,-504
RKSI,RWY2_3_1,RWY2,,,-262,1095
RKSI,R1_8_1,R1,,,-264,-340
RKSI,R1_3_1,R1,,,-272,-524
RKSI,R1_2_1,R1,,,-291,-549
RKSI,A5_3_1,A5,,,-313,-80
RKSI,R1_9_1,R1,,,-313,-277
RKSI,C1_2_1,C1,,,-338,869
RKSI,R1_1_1,R1,,,-341,-566
RKSI,B_6_1,B,,,-357,174
RKSI,A4_2_1,A4,,,-363,-232
RKSI,3_1_2,3,,,-370,-457
RKSI,6_1_1,6,,,-373,-413
RKSI,RWY1_3_1,RWY1,,,-381,544
RKSI,2_1_2,2,,,-387,-489
RKSI,7_1_1,7,,,-398,-376
RKSI,R1_10_1,R1,,,-400,-235
RKSI,C2_1_1,C2,,,-404,964
RKSI,R1_11_1,R1,,,-413,-231
RKSI,A5_2_1,A5,,,-418,-154
RKSI,C2_3_1,C2,,,-421,1153
RKSI,1_1_2,1,,,-424,-539
RKSI,RWY2_4_1,RWY2,,,-437,1345
RKSI,A6_3_1,A6,,,-447,111
RKSI,8_1_1,8,,,-452,-363
RKSI,D4_1_2,D4,,,-466,1874
RKSI,R1_12_1,R1,,,-491,-211
RKSI,D_8_1,D,,,-491,1810
RKSI,D5_1_2,D5,,,-504,1967
RKSI,B_7_1,B,,,-509,392
RKSI,C2_2_1,C2,,,-513,1120
RKSI,9_1_1,9,,,-517,-344
RKSI,D4_1_1,D4,,,-517,1842
RKSI,J_1_1,J,,,-541,440
RKSI,A6_2_1,A6,,,-553,38
RKSI,B2_1_1,B2,,,-567,475
RKSI,D5_1_1,D5,,,-569,1922
RKSI,R1_13_1,R1,,,-577,-204
RKSI,B2_3_1,B2,,,-583,650
RKSI,10_1_1,10,,,-585,-339
RKSI,R1_14_1,R1,,,-594,-203
RKSI,RWY1_4_1,RWY1,,,-599,855
RKSI,A7_2_1,A7,,,-600,330
RKSI,R1_15_1,R1,,,-609,-196
RKSI,R1_16_1,R1,,,-618,-189
RKSI,R1_17_1,R1,,,-635,-153
RKSI,R1_18_1,R1,,,-656,-77
RKSI,A8_2_1,A8,,,-657,411
RKSI,R1_19_1,R1,,,-668,-37
RKSI,11_1_1,11,,,-668,-285
RKSI,R1_20_1,R1,,,-677,-4
RKSI,B2_2_1,B2,,,-677,632
RKSI,R1_21_1,R1,,,-693,48
RKSI,R1_22_1,R1,,,-711,111
RKSI,B3_1_1,B3,,,-743,726
RKSI,R7_14_2,R7,,,-747,226
RKSI,12_1_1,12,,,-753,-265
RKSI,B3_3_1,B3,,,-760,916
RKSI,14_1_1,14,,,-771,-187
RKSI,RWY1_5_1,RWY1,,,-777,1110
RKSI,15_1_1,15,,,-785,-117
RKSI,16_1_1,16,,,-786,-53
RKSI,R7_14_1,R7,,,-803,188
RKSI,R8_3_2,R8,,,-804,308
RKSI,17_1_1,17,,,-815,-7
RKSI,B3_2_1,B3,,,-840,865
RKSI,R1_26_1,R1,,,-844,445
RKSI,R1_28_1,R1,,,-847,450
RKSI,18_1_1,18,,,-849,7
RKSI,B_13_1,B,,,-855,886
RKSI,R1_25_1,R1,,,-856,382
RKSI,24_2_2,24,,,-858,-295
RKSI,AS_18_1,AS,,,-870,372
RKSI,26_1_1,26,,,-891,-402
RKSI,C3_1_2,C3,,,-893,1663
RKSI,19_1_1,19,,,-898,-29
RKSI,R7_13_1,R7,,,-899,121
RKSI,23_1_2,23,,,-899,-226
RKSI,22_1_2,22,,,-906,-154
RKSI,B_14_1,B,,,-913,968
RKSI,R1_29_1,R1,,,-925,561
RKSI,21_1_1,21,,,-926,-104
RKSI,AS_17_1,AS,,,-935,326
RKSI,20_1_1,20,,,-938,-53
RKSI,R7_12_1,R7,,,-944,89
RKSI,A9_2_1,A9,,,-947,826
RKSI,27_1_1,27,,,-956,-441
RKSI,103_1_2,103,,,-957,449
RKSI,24_2_1,24,,,-985,-320
RKSI,R1_30_1,R1,,,-989,652
RKSI,26_2_1,26,,,-990,-282
RKSI,AS_16_1,AS,,,-993,286
RKSI,105_1_2,105,,,-993,414
RKSI,A10_2_1,A10,,,-1004,907
RKSI,R2_3_1,R2,,,-1004,-279
RKSI,101_1_1,101,,,-1007,497
RKSI,R2_2_1,R2,,,-1008,-312
RKSI,R1_31_1,R1,,,-1011,682
RKSI,R2_4_1,R2,,,-1011,-254
RKSI,28_1_1,28,,,-1017,-492
RKSI,R3_2_2,R3,,,-1029,-334
RKSI,R2_5_1,R2,,,-1031,-184
