Time,Name,Aircraft,Instruction,InstructionTimeInSeconds
2012-05-13 06:00:01,IncheonGround,DLH718,AssignSpot(NonWork)->126,0
2012-05-13 06:00:02,SeoulApproach,ESR502,AssignSpot(NonWork)->128,0
2012-05-13 06:00:02,SeoulApproach,ESR502,Landing,11
2012-05-13 06:03:01,SeoulApproach,KAL684,AssignSpot(NonWork)->27,0
2012-05-13 06:03:01,SeoulApproach,KAL684,Landing,11
2012-05-13 06:03:31,SeoulApproach,ESR502,FreqencyChange,11
2012-05-13 06:03:31,IncheonTower2,ESR502,Landing,11
2012-05-13 06:04:01,SeoulApproach,AAR606,AssignSpot(NonWork)->36,0
2012-05-13 06:04:01,SeoulApproach,AAR606,Landing,11
2012-05-13 06:06:21,SeoulApproach,KAL684,FreqencyChange,11
2012-05-13 06:06:21,IncheonTower1,KAL684,Landing,11
2012-05-13 06:07:25,SeoulApproach,AAR606,FreqencyChange,11
2012-05-13 06:07:25,IncheonTower2,AAR606,Landing,11
2012-05-13 06:08:01,SeoulApproach,KAL690,AssignSpot(NonWork)->16,0
2012-05-13 06:08:01,SeoulApproach,KAL690,Landing,11
2012-05-13 06:09:01,SeoulApproach,THA658,AssignSpot(NonWork)->122,0
2012-05-13 06:09:01,SeoulApproach,THA658,Landing,11
2012-05-13 06:10:01,IncheonTower2,ESR502,Taxi,0
2012-05-13 06:11:01,SeoulApproach,KAL674,AssignSpot(NonWork)->15,0
2012-05-13 06:11:01,SeoulApproach,KAL674,Landing,11
2012-05-13 06:11:25,SeoulApproach,KAL690,FreqencyChange,11
2012-05-13 06:11:25,IncheonTower2,KAL690,Landing,11
2012-05-13 06:11:37,IncheonTower2,ESR502,Crossing,7
2012-05-13 06:12:01,SeoulApproach,HVN408,AssignSpot(NonWork)->112,0
2012-05-13 06:12:01,SeoulApproach,HVN408,Landing,11
2012-05-13 06:12:15,SeoulApproach,THA658,FreqencyChange,11
2012-05-13 06:12:15,IncheonTower1,THA658,Landing,11
2012-05-13 06:12:40,IncheonTower1,KAL684,Taxi,0
2012-05-13 06:13:49,IncheonTower2,AAR606,Taxi,0
2012-05-13 06:14:29,SeoulApproach,KAL674,FreqencyChange,11
2012-05-13 06:14:29,IncheonTower2,KAL674,Landing,11
2012-05-13 06:15:01,SeoulApproach,KAL632,AssignSpot(NonWork)->21,0
2012-05-13 06:15:01,SeoulApproach,KAL632,Landing,11
2012-05-13 06:15:08,IncheonTower2,AAR606,Crossing,7
2012-05-13 06:15:20,SeoulApproach,HVN408,FreqencyChange,11
2012-05-13 06:15:20,IncheonTower1,HVN408,Landing,11
2012-05-13 06:16:01,SeoulApproach,AAR736,AssignSpot(NonWork)->39,0
2012-05-13 06:16:01,SeoulApproach,AAR736,Landing,11
2012-05-13 06:16:55,IncheonGround,ESR502,Taxi,0
2012-05-13 06:16:55,IncheonTower2,ESR502,FreqencyChange,11
2012-05-13 06:17:50,IncheonTower2,KAL690,Taxi,0
2012-05-13 06:18:19,SeoulApproach,KAL632,FreqencyChange,11
2012-05-13 06:18:19,IncheonTower2,KAL632,Landing,11
2012-05-13 06:18:26,IncheonTower1,THA658,Taxi,0
2012-05-13 06:19:09,IncheonTower2,KAL690,Crossing,7
2012-05-13 06:19:10,SeoulApproach,AAR736,FreqencyChange,11
2012-05-13 06:19:10,IncheonTower1,AAR736,Landing,11
2012-05-13 06:19:36,IncheonGround,KAL684,Taxi,0
2012-05-13 06:19:36,IncheonTower1,KAL684,FreqencyChange,11
2012-05-13 06:20:01,SeoulApproach,AAR738,AssignSpot(NonWork)->42,0
2012-05-13 06:20:01,SeoulApproach,AAR738,Landing,11
2012-05-13 06:20:59,IncheonTower2,KAL674,Taxi,0
2012-05-13 06:21:39,IncheonTower1,HVN408,Taxi,0
2012-05-13 06:21:51,IncheonGround,AAR606,Taxi,0
2012-05-13 06:21:51,IncheonTower2,AAR606,FreqencyChange,11
2012-05-13 06:22:23,IncheonTower2,KAL674,Crossing,7
2012-05-13 06:23:01,SeoulApproach,AMU826,AssignSpot(NonWork)->129,0
2012-05-13 06:23:01,SeoulApproach,AMU826,Landing,11
2012-05-13 06:23:27,SeoulApproach,AAR738,FreqencyChange,11
2012-05-13 06:23:27,IncheonTower1,AAR738,Landing,11
2012-05-13 06:23:58,IncheonGround,THA658,Taxi,0
2012-05-13 06:23:58,IncheonTower1,THA658,FreqencyChange,11
2012-05-13 06:24:38,IncheonTower2,KAL632,Taxi,0
2012-05-13 06:25:01,SeoulApproach,THA654,AssignSpot(NonWork)->106,0
2012-05-13 06:25:01,SeoulApproach,THA654,Landing,11
2012-05-13 06:25:15,IncheonTower1,AAR736,Taxi,0
2012-05-13 06:25:52,IncheonGround,KAL690,Taxi,0
2012-05-13 06:25:52,IncheonTower2,KAL690,FreqencyChange,11
2012-05-13 06:26:01,SeoulApproach,KAL688,AssignSpot(NonWork)->9,0
